671 markers:
  type 0 ((type 0)): 0 markers
  type 1 ((type 1)): 0 markers
  type 2 ((type 2)): 0 markers
  type 3 ((type 3)): 1 markers
  type 4 ((type 4)): 24 markers
  type 5 ((type 5)): 39 markers
  type 6 ((type 6)): 79 markers
  type 7 ((type 7)): 42 markers
  type 8 ((type 8)): 0 markers
  type 9 ((type 9)): 0 markers
  type 10 ((type 10)): 0 markers
  type 11 ((type 11)): 4 markers
  type 12 ((type 12)): 131 markers
  type 13 ((type 13)): 196 markers
  type 14 ((type 14)): 23 markers
  type 15 ((type 15)): 0 markers
  type 16 ((type 16)): 4 markers
  type 17 (neighbourhood): 13 markers
  type 18 (engage tip sms): 56 markers
  type 19 (money pickup): 59 markers
  type 20 ((type 20)): 0 markers
type 0 ((type 0)) markers:
type 1 ((type 1)) markers:
type 2 ((type 2)) markers:
type 3 ((type 3)) markers:
  structsize 116 areaMin (-1795.22, -2318.09) areaMax ( 2288.66,   331.65) position (-1334.23,  -213.86) radius 6
  structsize 100 areaMin (   -7.27,  -218.02) areaMax (   77.84,  -180.70) position (   33.06,  -218.02) radius 4
  structsize 100 areaMin (   18.87,  -319.00) areaMax (   85.14,  -250.42) position (   34.48,  -319.00) radius 4
  structsize 132 areaMin (-1047.92,    -6.36) areaMax ( -917.20,    39.62) position ( -949.03,     1.09) radius 8
  structsize 116 areaMin (-1130.36,    91.82) areaMax (-1024.48,   155.10) position (-1056.59,    91.82) radius 6
  structsize 116 areaMin ( -159.63,  -337.20) areaMax (  -54.46,  -277.54) position (  -54.46,  -319.47) radius 6
  structsize 116 areaMin (  -59.32,  -319.47) areaMax (   25.19,  -241.78) position (  -59.32,  -277.54) radius 6
  structsize 132 areaMin (-1716.51,  2180.78) areaMax (-1634.70,  2277.61) position (-1634.70,  2251.24) radius 8
  structsize 132 areaMin (-1638.71,  2214.17) areaMax (-1488.45,  2281.29) position (-1508.49,  2214.17) radius 8
  structsize 100 areaMin (  187.27, -1829.59) areaMax (  309.38, -1746.70) position (  196.81, -1829.59) radius 4
  structsize 116 areaMin ( -710.85, -1634.70) areaMax ( -598.66, -1600.27) position ( -644.52, -1629.81) radius 6
  structsize 100 areaMin ( -679.25,   913.67) areaMax ( -615.06,   930.05) position ( -679.25,   913.67) radius 4
  structsize 100 areaMin ( -304.72,  1255.33) areaMax ( -264.37,  1318.27) position ( -304.72,  1312.52) radius 4
  structsize 100 areaMin ( -350.87,   726.99) areaMax ( -328.94,   792.49) position ( -350.87,   790.46) radius 4
  structsize 100 areaMin ( -145.85,   779.90) areaMax ( -112.10,   844.68) position ( -145.85,   840.22) radius 4
  structsize 100 areaMin (  417.03,  1029.28) areaMax (  469.11,  1085.59) position (  426.58,  1029.28) radius 4
  structsize 100 areaMin (  321.37,  1185.72) areaMax (  362.03,  1248.22) position (  332.39,  1185.72) radius 4
  structsize 100 areaMin (  179.39,  1419.84) areaMax (  244.03,  1434.77) position (  179.87,  1419.84) radius 4
  structsize 100 areaMin (   37.13,   779.48) areaMax (  282.01,   891.13) position (   42.88,   779.48) radius 4
  structsize 100 areaMin (  369.52, -1937.52) areaMax (  631.27, -1787.18) position (  369.52, -1876.11) radius 4
  structsize 100 areaMin (  -62.32, -1276.49) areaMax (  -10.70, -1254.69) position (  -59.71, -1276.49) radius 4
  structsize 116 areaMin ( -135.12,   -99.59) areaMax (   48.80,   -17.04) position (  -39.48,   -49.96) radius 6
type 6 ((type 6)) markers:
  structsize 100 areaMin ( -696.41,   158.48) areaMax ( -646.45,   186.87) position ( -646.45,   177.23) radius 4
  structsize 100 areaMin (  185.07, -1026.67) areaMax (  228.84,  -981.04) position (  219.17,  -981.04) radius 4
  structsize 116 areaMin (  280.54,     2.41) areaMax (  327.72,    52.73) position (  280.54,    23.50) radius 6
  structsize 100 areaMin (  310.53,    47.22) areaMax (  328.38,    93.88) position (  327.96,    67.37) radius 4
  structsize 116 areaMin (  349.51,   194.91) areaMax (  371.22,   230.61) position (  352.64,   208.79) radius 6
  structsize 116 areaMin (  366.13,   269.75) areaMax (  402.21,   360.15) position (  378.03,   289.59) radius 6
  structsize 100 areaMin (  384.04,   270.86) areaMax (  404.08,   304.86) position (  404.08,   291.12) radius 4
  structsize 100 areaMin (  364.38,   325.66) areaMax (  398.95,   360.12) position (  390.71,   350.16) radius 4
  structsize 132 areaMin (  281.22,   349.69) areaMax (  393.04,   413.09) position (  363.90,   360.69) radius 8
  structsize 124 areaMin (  160.58,   353.20) areaMax (  224.85,   386.72) position (  185.02,   386.72) radius 7
  structsize 124 areaMin (  222.75,   357.90) areaMax (  292.81,   376.89) position (  273.06,   358.27) radius 7
  structsize 116 areaMin (  195.76,   340.45) areaMax (  254.24,   350.72) position (  227.21,   350.72) radius 6
  structsize 100 areaMin ( -180.85,   353.78) areaMax ( -118.78,   372.67) position ( -161.77,   353.78) radius 4
  structsize 100 areaMin ( -230.96,   352.63) areaMax ( -194.15,   370.55) position ( -224.41,   352.82) radius 4
  structsize 108 areaMin ( -309.29,   350.38) areaMax ( -268.00,   372.02) position ( -298.39,   361.80) radius 5
  structsize 132 areaMin ( -260.88,   230.15) areaMax ( -194.43,   310.52) position ( -209.80,   230.15) radius 8
  structsize 108 areaMin ( -209.80,   217.81) areaMax ( -126.53,   257.29) position ( -159.69,   217.81) radius 5
  structsize 108 areaMin ( -133.91,   161.22) areaMax ( -106.18,   212.00) position ( -106.18,   190.75) radius 5
  structsize 116 areaMin ( -687.10,   238.64) areaMax ( -654.72,   285.87) position ( -659.92,   278.54) radius 6
  structsize 132 areaMin ( -863.40,   187.98) areaMax ( -833.52,   270.48) position ( -863.21,   215.74) radius 8
  structsize 108 areaMin (-1116.09,  -498.68) areaMax (-1042.59,  -453.55) position (-1078.74,  -453.55) radius 5
  structsize 100 areaMin (-1247.89,  -650.77) areaMax (-1217.24,  -618.39) position (-1219.75,  -646.34) radius 4
  structsize 180 areaMin (-1185.30,  -869.60) areaMax ( -992.30,  -834.71) position (-1138.96,  -834.71) radius 14
  structsize 100 areaMin ( -789.64,  -828.06) areaMax ( -753.11,  -783.90) position ( -753.11,  -787.44) radius 4
  structsize 100 areaMin ( -648.64,  -850.35) areaMax ( -597.84,  -790.11) position ( -597.84,  -803.99) radius 4
  structsize 100 areaMin (  480.46,   208.40) areaMax (  503.63,   267.01) position (  480.46,   240.03) radius 4
  structsize 124 areaMin (  401.83,   175.15) areaMax (  497.63,   292.83) position (  451.83,   250.93) radius 7
  structsize 100 areaMin ( 1119.48,  -274.05) areaMax ( 1137.35,  -235.93) position ( 1137.35,  -273.96) radius 4
  structsize 100 areaMin (  952.08, -1248.21) areaMax (  987.58, -1213.32) position (  952.08, -1214.14) radius 4
  structsize 100 areaMin ( -635.66,  -864.70) areaMax ( -611.44,  -845.91) position ( -630.84,  -845.91) radius 4
  structsize 100 areaMin ( -653.45,  -861.45) areaMax ( -630.84,  -841.90) position ( -648.64,  -841.90) radius 4
  structsize 116 areaMin ( 1632.11,  -599.66) areaMax ( 1663.07,  -576.28) position ( 1632.11,  -583.32) radius 6
  structsize 116 areaMin ( 1569.53, -1004.39) areaMax ( 1601.45,  -970.44) position ( 1582.87,  -982.61) radius 6
  structsize 100 areaMin (  365.11, -1547.11) areaMax (  433.78, -1508.29) position (  369.97, -1547.11) radius 4
  structsize 100 areaMin (  205.10, -1406.30) areaMax (  219.98, -1387.95) position (  219.05, -1388.32) radius 4
  structsize 124 areaMin (  311.01, -1412.37) areaMax (  361.80, -1338.77) position (  326.77, -1342.48) radius 7
  structsize 116 areaMin (  334.86, -1524.44) areaMax (  397.71, -1402.80) position (  377.55, -1460.85) radius 6
  structsize 100 areaMin (  272.29, -1295.53) areaMax (  342.91, -1255.12) position (  276.00, -1295.53) radius 4
  structsize 100 areaMin (  420.09, -1575.27) areaMax (  457.97, -1528.87) position (  448.66, -1554.69) radius 4
  structsize 100 areaMin (  418.49, -1672.57) areaMax (  443.05, -1653.85) position (  435.45, -1653.85) radius 4
  structsize 116 areaMin (  294.78, -1698.09) areaMax (  348.90, -1646.01) position (  324.43, -1698.09) radius 6
  structsize 100 areaMin (  390.46, -1599.90) areaMax (  405.73, -1560.04) position (  405.73, -1582.48) radius 4
  structsize 132 areaMin (  422.02, -1641.67) areaMax (  487.88, -1613.82) position (  462.54, -1641.67) radius 8
  structsize 124 areaMin (  404.63, -1656.54) areaMax (  433.86, -1619.46) position (  414.86, -1656.54) radius 7
  structsize 100 areaMin ( 1067.97,  -585.74) areaMax ( 1139.24,  -516.23) position ( 1100.53,  -516.23) radius 4
  structsize 100 areaMin (  855.89, -1518.35) areaMax (  880.17, -1451.99) position (  879.99, -1504.44) radius 4
  structsize 100 areaMin (-1271.22,   429.68) areaMax (-1234.78,   460.07) position (-1244.70,   460.07) radius 4
  structsize 100 areaMin (-1314.37,   533.03) areaMax (-1283.82,   567.15) position (-1305.68,   533.03) radius 4
  structsize 116 areaMin ( -193.73,   238.63) areaMax ( -162.71,   279.70) position ( -165.44,   275.97) radius 6
  structsize 100 areaMin ( -140.11,   309.72) areaMax ( -118.87,   325.22) position ( -123.98,   325.22) radius 4
  structsize 116 areaMin ( -199.83,   285.26) areaMax ( -171.76,   314.98) position ( -199.83,   300.61) radius 6
  structsize 100 areaMin ( -224.85,   209.66) areaMax ( -207.17,   224.39) position ( -222.37,   209.66) radius 4
  structsize 116 areaMin ( -155.58,   236.10) areaMax ( -116.99,   272.51) position ( -141.14,   255.26) radius 6
  structsize 132 areaMin ( -251.57,   241.14) areaMax ( -170.24,   286.20) position ( -215.41,   284.05) radius 8
  structsize 100 areaMin ( -179.37,   215.96) areaMax ( -158.67,   233.84) position ( -165.20,   233.84) radius 4
  structsize 124 areaMin ( -189.50,   189.71) areaMax ( -162.25,   241.03) position ( -172.88,   215.09) radius 7
  structsize 124 areaMin (-1137.09,    55.90) areaMax (-1042.59,    79.52) position (-1121.16,    76.39) radius 7
  structsize 116 areaMin (-1086.37,    47.56) areaMax (-1063.90,   111.91) position (-1068.19,    83.51) radius 6
  structsize 100 areaMin ( -298.24, -1046.76) areaMax ( -239.17,  -998.99) position ( -283.08, -1046.76) radius 4
  structsize 100 areaMin ( -138.84, -1090.14) areaMax ( -100.32, -1031.59) position ( -135.25, -1090.14) radius 4
  structsize 100 areaMin (  518.81, -1032.53) areaMax (  557.67,  -966.43) position (  546.41, -1032.53) radius 4
  structsize 100 areaMin (  696.57, -1020.95) areaMax (  727.26,  -971.01) position (  696.57,  -975.00) radius 4
  structsize 100 areaMin (  733.07, -1006.60) areaMax (  770.66,  -958.84) position (  753.23,  -958.84) radius 4
  structsize 100 areaMin (-1248.48,  -721.72) areaMax (-1218.98,  -674.73) position (-1218.98,  -717.15) radius 4
  structsize 116 areaMin (-1217.44, -1613.41) areaMax (-1188.26, -1576.71) position (-1217.44, -1598.18) radius 6
  structsize 100 areaMin ( -648.49, -1708.56) areaMax ( -615.62, -1689.55) position ( -616.21, -1689.55) radius 4
  structsize 100 areaMin (   32.47, -2023.82) areaMax (   61.58, -1972.02) position (   44.11, -2023.82) radius 4
  structsize 100 areaMin ( 1139.78,  -274.05) areaMax ( 1157.65,  -235.93) position ( 1157.65,  -273.96) radius 4
  structsize 100 areaMin ( -920.06,  -116.55) areaMax ( -845.49,   -70.47) position ( -874.78,   -70.47) radius 4
  structsize 100 areaMin (  540.29, -1282.07) areaMax (  557.23, -1255.21) position (  549.62, -1282.07) radius 4
  structsize 100 areaMin (  528.20, -1337.91) areaMax (  544.30, -1314.26) position (  530.98, -1314.26) radius 4
  structsize 100 areaMin (  556.40, -1326.79) areaMax (  573.77, -1299.70) position (  556.40, -1302.84) radius 4
  structsize 100 areaMin (  637.58, -1672.77) areaMax (  652.56, -1653.83) position (  645.71, -1672.77) radius 4
  structsize 100 areaMin (  570.52, -1677.01) areaMax (  579.62, -1659.47) position (  573.30, -1659.47) radius 4
  structsize 100 areaMin (  352.46, -1877.96) areaMax (  370.07, -1875.36) position (  368.89, -1877.96) radius 4
  structsize 100 areaMin (  366.85,  -201.37) areaMax (  403.87,  -177.89) position (  403.87,  -192.71) radius 4
  structsize 100 areaMin (  464.94,  -261.51) areaMax (  487.43,  -246.12) position (  468.28,  -246.12) radius 4
  structsize 100 areaMin (  390.45, -1863.52) areaMax (  409.02, -1827.54) position (  402.72, -1863.52) radius 4
  structsize 100 areaMin (  552.23, -1805.69) areaMax (  570.80, -1769.71) position (  564.50, -1805.69) radius 4
type 7 ((type 7)) markers:
  structsize 100 areaMin (-1049.01, -1558.86) areaMax (-1042.24, -1540.09) position (-1049.01, -1558.52) radius 4
  structsize 100 areaMin (-1207.99, -1696.66) areaMax (-1184.94, -1673.33) position (-1207.99, -1693.21) radius 4
  structsize 100 areaMin (-1015.04, -1676.43) areaMax (-1000.13, -1646.06) position (-1015.04, -1647.58) radius 4
  structsize 100 areaMin ( -862.33, -1630.90) areaMax ( -855.77, -1612.33) position ( -859.50, -1630.90) radius 4
  structsize 100 areaMin ( -685.13, -1713.26) areaMax ( -681.32, -1691.30) position ( -685.13, -1691.79) radius 4
  structsize 100 areaMin ( -456.75, -1859.81) areaMax ( -451.92, -1837.38) position ( -456.75, -1838.41) radius 4
  structsize 100 areaMin ( -550.45, -1684.08) areaMax ( -536.65, -1659.92) position ( -536.65, -1682.15) radius 4
  structsize 100 areaMin (-1042.07, -1767.20) areaMax (-1010.50, -1758.89) position (-1041.42, -1758.89) radius 4
  structsize 100 areaMin (-1002.19, -1767.33) areaMax ( -980.10, -1757.85) position ( -980.49, -1767.20) radius 4
  structsize 100 areaMin ( -962.56, -1767.59) areaMax ( -929.95, -1758.24) position ( -930.34, -1767.33) radius 4
  structsize 148 areaMin ( -923.12, -1767.33) areaMax ( -890.33, -1757.85) position ( -890.33, -1767.07) radius 10
  structsize 100 areaMin ( -951.72, -1802.41) areaMax ( -919.89, -1792.93) position ( -951.46, -1792.93) radius 4
  structsize 100 areaMin ( -872.43, -1810.93) areaMax ( -840.08, -1803.53) position ( -872.04, -1803.53) radius 4
  structsize 100 areaMin ( -863.47, -1774.95) areaMax ( -829.82, -1761.31) position ( -863.47, -1768.58) radius 4
  structsize 100 areaMin (-1041.80, -1811.26) areaMax (-1009.97, -1803.59) position (-1041.80, -1810.87) radius 4
  structsize 148 areaMin (-1001.39, -1811.52) areaMax ( -980.35, -1802.46) position (-1001.26, -1811.52) radius 10
  structsize 100 areaMin (-1089.87, -1835.09) areaMax (-1059.93, -1810.11) position (-1089.87, -1828.02) radius 4
  structsize 100 areaMin ( -614.92,   290.07) areaMax ( -606.29,   312.23) position ( -610.08,   290.07) radius 4
  structsize 100 areaMin ( -341.42,   364.21) areaMax ( -337.49,   387.52) position ( -341.42,   364.95) radius 4
  structsize 100 areaMin ( -110.84,   356.99) areaMax ( -106.26,   375.37) position ( -110.21,   375.33) radius 4
  structsize 100 areaMin ( -478.45,     5.88) areaMax ( -463.86,    27.47) position ( -477.02,     5.88) radius 4
  structsize 100 areaMin ( -509.57,  -898.04) areaMax ( -470.68,  -848.46) position ( -483.25,  -898.04) radius 4
  structsize 100 areaMin ( -499.14,  -685.58) areaMax ( -461.89,  -648.99) position ( -461.89,  -656.24) radius 4
  structsize 100 areaMin ( -589.10,  -531.47) areaMax ( -560.00,  -493.52) position ( -560.00,  -526.81) radius 4
  structsize 100 areaMin ( -707.13,  -476.75) areaMax ( -669.88,  -443.46) position ( -680.27,  -476.75) radius 4
  structsize 100 areaMin (-1302.01, -1393.10) areaMax (-1285.94, -1379.96) position (-1286.11, -1380.44) radius 4
  structsize 100 areaMin (-1285.00, -1437.23) areaMax (-1280.80, -1405.99) position (-1280.80, -1437.23) radius 4
  structsize 100 areaMin (-1323.08, -1536.47) areaMax (-1313.54, -1518.75) position (-1323.08, -1533.94) radius 4
  structsize 100 areaMin (-1104.14, -1413.22) areaMax (-1099.95, -1378.93) position (-1104.14, -1412.83) radius 4
  structsize 100 areaMin (-1112.91, -1458.52) areaMax (-1101.61, -1432.61) position (-1105.60, -1432.61) radius 4
  structsize 100 areaMin ( -953.34, -1478.29) areaMax ( -941.69, -1454.90) position ( -953.24, -1478.15) radius 4
  structsize 100 areaMin ( -915.74, -1478.30) areaMax ( -904.09, -1454.91) position ( -915.64, -1478.16) radius 4
  structsize 100 areaMin ( -863.75, -1478.63) areaMax ( -852.09, -1455.24) position ( -863.64, -1478.49) radius 4
  structsize 100 areaMin ( -972.25, -1391.93) areaMax ( -960.60, -1368.54) position ( -972.15, -1391.79) radius 4
  structsize 100 areaMin ( -924.55, -1391.19) areaMax ( -912.90, -1367.80) position ( -924.45, -1391.05) radius 4
  structsize 100 areaMin ( -874.55, -1391.63) areaMax ( -862.90, -1368.24) position ( -874.45, -1391.49) radius 4
  structsize 100 areaMin ( -829.84, -1392.93) areaMax ( -818.19, -1369.54) position ( -829.73, -1392.79) radius 4
  structsize 100 areaMin (  336.29, -1739.33) areaMax (  348.60, -1719.89) position (  348.60, -1737.25) radius 4
  structsize 100 areaMin (  318.78, -1750.14) areaMax (  329.72, -1733.80) position (  329.72, -1749.02) radius 4
  structsize 100 areaMin (  311.50, -1754.17) areaMax (  324.12, -1737.10) position (  321.45, -1754.17) radius 4
  structsize 100 areaMin (  178.18, -1834.14) areaMax (  188.04, -1817.32) position (  179.68, -1817.32) radius 4
  structsize 100 areaMin (  166.19, -1840.52) areaMax (  174.84, -1823.90) position (  174.84, -1839.94) radius 4
type 8 ((type 8)) markers:
type 9 ((type 9)) markers:
type 10 ((type 10)) markers:
type 11 ((type 11)) markers:
  structsize 100 areaMin (-1578.23,   500.28) areaMax (-1563.54,   534.43) position (-1578.23,   531.37) radius 4
  structsize 100 areaMin (-1060.11,   663.90) areaMax (-1026.93,   723.74) position (-1060.11,   715.50) radius 4
  structsize 100 areaMin (-1432.44,   206.57) areaMax (-1409.04,   232.95) position (-1415.57,   232.95) radius 4
  structsize 100 areaMin (-1243.46,   756.03) areaMax (-1214.05,   802.03) position (-1229.70,   802.03) radius 4
type 12 ((type 12)) markers:
  structsize 116 areaMin (-1030.88,   396.46) areaMax ( -913.79,   504.92) position ( -969.70,   396.46) radius 6
  structsize 100 areaMin (-1031.73,   511.92) areaMax ( -909.03,   569.35) position (-1031.73,   550.42) radius 4
  structsize 116 areaMin ( -867.26,   522.36) areaMax ( -718.46,   590.24) position ( -864.00,   568.05) radius 6
  structsize 100 areaMin ( -742.27,   624.87) areaMax ( -635.78,   727.78) position ( -670.74,   727.78) radius 4
  structsize 100 areaMin ( -525.52,   717.44) areaMax ( -408.07,   802.03) position ( -520.84,   802.03) radius 4
  structsize 100 areaMin ( -845.55,   811.24) areaMax ( -683.15,   902.59) position ( -838.78,   902.59) radius 4
  structsize 100 areaMin ( -967.35,   772.89) areaMax ( -859.08,   873.26) position ( -967.35,   873.26) radius 4
  structsize 100 areaMin ( -860.21,   715.38) areaMax ( -701.19,   783.04) position ( -857.95,   715.38) radius 4
  structsize 116 areaMin ( -942.53,   637.56) areaMax ( -873.74,   730.04) position ( -919.98,   715.38) radius 6
  structsize 100 areaMin (-1112.67,   598.37) areaMax ( -959.14,   741.32) position (-1111.70,   699.59) radius 4
  structsize 108 areaMin (-1178.82,   673.65) areaMax (-1115.08,   818.00) position (-1174.85,   673.65) radius 5
  structsize 100 areaMin (-1592.13,   831.54) areaMax (-1464.69,   937.55) position (-1464.69,   905.97) radius 4
  structsize 100 areaMin (-1748.89,   629.67) areaMax (-1581.98,   792.07) position (-1748.89,   754.85) radius 4
  structsize 100 areaMin (-1565.06,   505.61) areaMax (-1364.32,   586.81) position (-1565.06,   586.81) radius 4
  structsize 100 areaMin (-1451.16,   635.31) areaMax (-1298.91,   816.88) position (-1399.28,   816.88) radius 4
  structsize 100 areaMin (-1354.17,   409.75) areaMax (-1217.71,   629.67) position (-1309.06,   629.67) radius 4
  structsize 100 areaMin (-1344.02,   520.27) areaMax (-1180.49,   633.05) position (-1344.02,   580.04) radius 4
  structsize 100 areaMin (-1174.85,   857.48) areaMax ( -969.60,   991.68) position (-1162.45,   991.68) radius 4
  structsize 100 areaMin (-1300.04,   413.13) areaMax (-1119.59,   498.84) position (-1130.87,   498.84) radius 4
  structsize 100 areaMin (-1412.81,   265.40) areaMax (-1331.61,   439.07) position (-1399.28,   439.07) radius 4
  structsize 108 areaMin (-1693.63,   336.45) areaMax (-1547.02,   548.47) position (-1693.63,   548.47) radius 5
  structsize 108 areaMin (-1576.34,   195.47) areaMax (-1403.79,   334.19) position (-1576.34,   289.08) radius 5
  structsize 100 areaMin (-1362.06,   161.64) areaMax (-1175.98,   252.99) position (-1362.06,   161.64) radius 4
  structsize 100 areaMin (-1271.79,   224.91) areaMax (-1142.26,   434.86) position (-1271.79,   423.67) radius 4
  structsize 100 areaMin (-1170.49,   216.98) areaMax ( -944.42,   390.21) position (-1170.49,   264.72) radius 4
  structsize 100 areaMin (-1177.36,    82.49) areaMax (-1040.36,   214.84) position (-1177.36,   179.90) radius 4
  structsize 100 areaMin ( -931.66,   362.07) areaMax ( -727.04,   479.00) position ( -931.66,   466.00) radius 4
  structsize 100 areaMin ( -704.30,   472.50) areaMax ( -493.19,   574.81) position ( -704.30,   524.47) radius 4
  structsize 100 areaMin ( -538.66,   555.32) areaMax ( -378.85,   716.80) position ( -538.66,   591.05) radius 4
  structsize 100 areaMin ( -674.26,   209.02) areaMax ( -446.90,   374.13) position ( -674.26,   343.00) radius 4
  structsize 100 areaMin (-1038.30,    58.13) areaMax ( -803.48,   303.76) position (-1038.30,   229.32) radius 4
  structsize 108 areaMin (-1183.39,   508.63) areaMax (-1050.68,   591.84) position (-1120.30,   591.84) radius 5
  structsize 100 areaMin ( -394.05,   589.38) areaMax ( -270.70,   726.44) position ( -366.63,   726.44) radius 4
  structsize 108 areaMin (  -76.11,   -18.12) areaMax (   58.34,   128.16) position (  -76.11,    84.51) radius 5
